,PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError,EndError_cleaned,PathOffset_cleaned,PathOffsetNoLag_cleaned
208,Poppy,64,low,80,row_B5,right,middle,1.8834660174622029,2.0741200869927696,35.2,2.83,5.2,1.49,0.9551905199989719,1.4372042610881475,3.905474928349603
209,Poppy,65,low,80,row_C3,center,close,0.7953171779261909,1.2373595616672222,17.4,1.26,3.49,0.98,0.7069683532443505,0.8495279738135442,2.7793331550412828
211,Poppy,67,low,80,row_A5,right,far,1.173441969680352,1.4536779584751036,17.4,1.82,3.26,1.59,0.9984118000996411,1.0923843858945115,2.620295869687197
212,Poppy,68,low,80,row_A4,center,far,0.5541841073495618,0.7819687484387536,35.8,1.67,5.32,1.36,0.8966048046108566,1.0319205670646547,3.981339627648111
213,Poppy,69,low,80,row_B3,center,middle,0.7473725726525131,0.909163242457124,38.6,1.6,5.67,0.97,0.701548464105739,1.0026509310601806,4.200589667307291
214,Poppy,70,low,80,row_C1,left,close,1.0365581461871276,2.10839871889393,44.2,3.9,9.01,4.12,1.7740803730494936,1.7224829030287236,6.170173713155957
215,Poppy,71,low,80,row_A2,left,far,0.750783352648131,0.8830644295467959,77.6,3.72,12.8,6.41,2.2174851772819415,1.6786918613273882,8.213251835218104
216,Katrina,0,low,80,row_A1,left,far,0.5678444314196766,0.591201842179148,0.0,2.01,2.01,4.45,1.8478528119788251,1.16494658205619,1.7136046045364992
217,Katrina,1,low,80,row_A3,center,far,0.34948955490293393,0.4091745674443161,0.0,1.69,1.69,0.54,0.4412398463969702,1.0401564545400377,1.46727867488819
218,Katrina,2,low,80,row_A6,right,far,0.5245352229225162,0.5559842261309077,0.0,3.83,3.83,3.67,1.6662609926961491,1.7056278591989016,3.010759371085443
219,Katrina,3,low,80,row_B6,right,middle,0.4875984543172636,0.5395454094845055,35.4,3.95,5.22,4.73,1.9073594015214757,1.7343900463843287,3.9181443606233124
220,Katrina,4,low,80,row_C3,center,close,0.372639657942131,0.4644798279125956,0.0,1.52,1.52,1.84,1.1002263301204773,0.9683185250667603,1.3334586578316354
221,Katrina,5,low,80,row_A2,left,far,0.3034550056473525,0.3457631491085398,31.0,2.42,4.64,2.56,1.3538982996335291,1.3084377215905607,3.546422193180268
222,Katrina,6,low,80,row_B2,left,middle,0.4062185169850245,0.5006535098546105,23.1,1.66,4.0,1.3,0.8685794289921267,1.0277817813286005,3.12493536650948
223,Katrina,8,low,80,row_B4,center,middle,0.40542275125904575,0.5060654845867549,25.5,1.9,4.07,2.03,1.1723430623433106,1.123457499326046,3.171665741311824
224,Katrina,9,low,80,row_A4,center,far,0.223937240658917,0.34782629705218776,80.0,1.29,9.85,0.87,0.6459435905100075,0.8638446886526285,6.637634200816674
225,Katrina,10,low,80,row_C4,center,close,0.3396166294045673,0.4291245234669451,0.0,1.7,1.7,2.04,1.1760248395950734,1.0442537523679474,1.4750834498515257
226,Katrina,11,low,80,row_A5,right,far,0.3175659118610229,0.3692541469952386,28.6,2.3,3.97,2.04,1.1760248395950734,1.2681181999924207,3.1048580729592303
227,Katrina,12,low,80,row_B3,center,middle,0.2917334024327278,0.3544707439966783,69.0,0.98,8.15,0.45,0.37855282682871527,0.7069683532443505,5.681293256671316
228,Katrina,13,low,80,row_C5,right,close,0.329840621248524,0.3669919782844298,32.4,2.12,4.23,2.68,1.3916014412483912,1.2050928441551645,3.2778777528640384
229,Katrina,14,low,80,row_B1,left,middle,0.35612077535289305,0.4558069489273627,0.0,3.74,3.74,5.53,2.0639997111550223,1.6836310489319861,2.949907487676356
230,Katrina,15,low,80,row_C1,left,close,0.3095217795710725,0.3829206689873675,0.0,2.74,2.74,3.58,1.6435804384137453,1.4100398239669665,2.25251930603199
231,Katrina,16,low,80,row_C6,right,close,0.4387081460103626,0.4006065422565743,41.8,3.29,5.07,5.24,2.00932115562082,1.5676656997135252,3.8228726074952046
232,Katrina,17,low,80,row_B5,right,middle,0.42523307453588893,0.43386784861227495,40.0,2.47,4.18,2.61,1.3697448881013807,1.3248627533924862,3.2447749061722413
233,Katrina,18,low,80,row_A1,left,far,0.3472912362107925,0.4657688582401682,74.6,3.7,7.81,5.73,2.1004495809118517,1.6737338017942327,5.48488129180178
234,Katrina,19,low,80,row_A3,center,far,0.6924360013442759,0.7435395273554446,58.8,1.94,4.28,1.27,0.8543191177415732,1.138705792441983,3.3109015749733928
235,Katrina,20,low,80,row_A6,right,far,0.4993003148105045,0.5414777328534631,33.9,3.49,4.82,3.65,1.6612550803522241,1.6204951590347183,3.662764971407624
236,Katrina,21,low,80,row_B6,right,middle,0.5733959641041427,0.635823422041677,35.4,3.94,5.17,4.82,1.9259311689016334,1.7320173046989673,3.8864516018521154
237,Katrina,22,low,80,row_C3,center,close,0.4054976874902116,0.4520054652330767,29.1,1.3,3.66,0.31,0.27370590757167745,0.8685794289921267,2.8955740528539624
238,Katrina,23,low,80,row_A2,left,far,0.3811074558458496,0.455914735463087,28.3,2.26,4.47,1.82,1.0923843858945115,1.2543847979536848,3.4356876286667735
239,Katrina,24,low,80,row_B2,left,middle,0.2271283183544151,0.2795441036328188,92.7,1.93,9.22,1.87,1.1118965535303782,1.134911305486308,6.2879289581795055
240,Katrina,25,low,80,row_C2,left,close,0.2996308567756614,0.4750245903657445,0.0,2.55,2.55,3.25,1.556834473676476,1.350704963756626,2.115006043340077
242,Katrina,27,low,80,row_A4,center,far,0.3741665530642265,0.4747694569699304,0.0,1.37,1.37,0.84,0.6287399711229935,0.9012132295973374,1.2134968964740762
243,Katrina,28,low,80,row_C4,center,close,0.4345201131961541,0.4761750087575437,25.4,1.95,4.22,2.28,1.2612703406527404,1.1424886813500068,3.2712635357449056
244,Katrina,29,low,80,row_A5,right,far,0.376537459982849,0.3661388362515348,0.0,2.2,2.2,1.86,1.1080187284666732,1.2334976252295826,1.8567440666052708
245,Katrina,30,low,80,row_B3,center,middle,0.2656476027033175,0.3709781302686984,0.0,0.88,0.88,0.19,0.17547510603523886,0.6516229549163888,0.8073731460019525
246,Katrina,31,low,80,row_C5,right,close,0.3857120624543762,0.4396935057322167,0.0,2.12,2.12,2.04,1.1760248395950734,1.2050928441551645,1.7967412218564245
247,Katrina,32,low,80,row_B1,left,middle,0.31275473321424496,0.3879977602941975,33.9,2.51,4.67,2.43,1.3117399396299367,1.3378501221512762,3.565876388037856
